#Annotated with Bakta (v1.7.0): https://github.com/oschwengers/bakta								
#Database (v5.0): https://doi.org/10.5281/zenodo.4247252								
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	300	1313	-	KK01_00005	ilvC	ketol-acid reductoisomerase	"COG:COG0059, COG:EH, EC:1.1.1.86, KEGG:K00053, RefSeq:WP_019390042.1, SO:0001217, UniParc:UPI0002F4C31E, UniRef:UniRef100_UPI0002F4C31E, UniRef:UniRef50_D0WGK0, UniRef:UniRef90_E4ZC66"
contig_1	cds	1499	3979	-	KK01_00010	ftsK	DNA segregation ATPase FtsK/SpoIIIE or related protein	"COG:COG1674, COG:D, SO:0001217, UniRef:UniRef50_Q9JU31, UniRef:UniRef90_F5S7D1"
contig_1	cds	4055	4687	-	KK01_00015	acrR	"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA"	"COG:COG1309, COG:K, RefSeq:WP_032133585.1, SO:0001217, UniParc:UPI000418B2D6, UniRef:UniRef100_UPI000418B2D6, UniRef:UniRef50_V9HCB6, UniRef:UniRef90_F5S7D0"
contig_1	cds	4890	6179	+	KK01_00020	acrA	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	"COG:COG0845, COG:MV, RefSeq:WP_019390039.1, SO:0001217, UniParc:UPI00037310BE, UniRef:UniRef100_UPI00037310BE, UniRef:UniRef50_P43505, UniRef:UniRef90_UPI000B0FD8E7"
contig_1	cds	6195	9362	+	KK01_00025	acrB	Multidrug efflux pump subunit AcrB	"COG:COG0841, COG:V, SO:0001217, UniRef:UniRef50_A0A0M6Y3U9, UniRef:UniRef90_F5S7C8"
contig_1	cds	9492	10922	+	KK01_00030	adeC	Outer membrane protein TolC	"COG:COG1538, COG:M, SO:0001217, UniRef:UniRef50_G4CQN9, UniRef:UniRef90_F5S7C7"
contig_1	cds	11121	12176	-	KK01_00035	tal	transaldolase	"COG:COG0176, COG:G, EC:2.2.1.2, KEGG:K00616, RefSeq:WP_032133581.1, SO:0001217, UniParc:UPI000419576C, UniRef:UniRef100_UPI000419576C, UniRef:UniRef50_Q5F6E9, UniRef:UniRef90_F5S7C5"
contig_1	cds	12308	12448	+	KK01_00040		hypothetical protein	
contig_1	cds	12448	13272	+	KK01_00045		"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"	"COG:COG2905, COG:T, SO:0001217, UniRef:UniRef50_B2VL66, UniRef:UniRef90_F5S7C4"
contig_1	cds	13296	14141	+	KK01_00050	kdsA	3-deoxy-8-phosphooctulonate synthase	"COG:COG2877, COG:M, EC:2.5.1.55, KEGG:K01627, RefSeq:WP_032133580.1, SO:0001217, UniParc:UPI00040FB398, UniRef:UniRef100_UPI00040FB398, UniRef:UniRef50_Q70JW1, UniRef:UniRef90_F5S7C3"
contig_1	cds	14216	15463	-	KK01_00055	fabB	beta-ketoacyl-ACP synthase	"COG:COG0304, COG:IQ, RefSeq:WP_032133579.1, SO:0001217, UniParc:UPI000415992F, UniRef:UniRef100_UPI000415992F, UniRef:UniRef50_A0A0T9MRA3, UniRef:UniRef90_F5S7C2"
contig_1	cds	15495	16223	-	KK01_00060	fabG	3-oxoacyl-ACP reductase FabG	"COG:COG1028, COG:I, RefSeq:WP_019390033.1, SO:0001217, UniParc:UPI0002F2A111, UniRef:UniRef100_UPI0002F2A111, UniRef:UniRef50_P70720, UniRef:UniRef90_F5S7C1"
contig_1	cds	16272	16760	-	KK01_00065		"putative 3-hydroxylacyl-ACP dehydratase, HotDog domain"	"COG:COG4706, COG:I, RefSeq:WP_038303369.1, SO:0001217, UniParc:UPI000418D3B8, UniRef:UniRef100_UPI000418D3B8, UniRef:UniRef50_V9H920, UniRef:UniRef90_F5S7C0"
contig_1	cds	16753	17967	-	KK01_00070	fabB	3-oxoacyl-(acyl-carrier-protein) synthase	"COG:COG0304, COG:IQ, RefSeq:WP_060537094.1, SO:0001217, UniParc:UPI0007065C02, UniRef:UniRef100_UPI0007065C02, UniRef:UniRef50_A0A377IXQ7, UniRef:UniRef90_F5S7B9"
contig_1	cds	17986	18387	-	KK01_00075		Lipoprotein	"RefSeq:WP_019390031.1, SO:0001217, UniParc:UPI0002EDBBFD, UniRef:UniRef100_UPI0002EDBBFD, UniRef:UniRef50_V9HMM6, UniRef:UniRef90_F5S7B8"
contig_1	cds	18384	19175	-	KK01_00080	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	"COG:COG0204, COG:I, SO:0001217, UniRef:UniRef50_G4CJN3, UniRef:UniRef90_F5S7B7"
contig_1	cds	19157	19870	-	KK01_00085		Ketoacyl-synth-N domain-containing protein	"SO:0001217, UniRef:UniRef50_V9HMM3, UniRef:UniRef90_F5S7B6"
